id,schema_version,country_code,source_id,complete,coverage_percentage,denominator,denominator_id,excluded,exclusion_reasons,layer,license,matched,missing,missing_reason,notes,snapshot_date,snapshot_id,unmatched
COV-AE-SHARJAH-MUNICIPALITY-JURISDICTIONS,2.0.0,AE,SRC-AE-SGMB-MUNICIPALITIES-2023,True,100.0,9,DEN-AE-SHARJAH-MUNICIPALITY-JURISDICTIONS,0,[],sharjah_municipality_jurisdictions,Official Sharjah government page; reuse terms not stated,9,0,,Nine municipality jurisdictions explicitly enumerated by Sharjah Government. Every in-scope row is matched; no exclusions.,2026-08-15,SNP-AE-PILOT-20260815,0
COV-AE-UAQ-MUNICIPAL-AUTHORITIES,2.0.0,AE,SRC-AE-UAQ-EXECUTIVE-COUNCIL-2026,True,100.0,2,DEN-AE-UAQ-MUNICIPAL-AUTHORITIES,0,[],uaq_municipal_authorities,Official Umm Al Quwain government page; reuse terms not stated,2,0,,Two municipal authorities explicitly named by the Umm Al Quwain Executive Council. Every in-scope row is matched; no exclusions.,2026-08-15,SNP-AE-PILOT-20260815,0
COV-BH-COUNTRY-SCOPE,2.0.0,BH,SRC-ISO-3166-1-2020,True,100.0,1,DEN-BH-COUNTRY-SCOPE,0,[],country_scope,ISO copyright; reuse is subject to ISO terms of use,1,0,,"This 100% applies only to the one-record country-scope layer, not to cities, villages, neighborhoods, lanes, or administrative tiers.",2026-08-15,SNP-MIGRATION-2026-08-15,0
COV-BH-GOVERNORATES-2024,2.0.0,BH,SRC-BH-SLRB-GOVERNORATE-AREA-2024,True,100.0,4,DEN-BH-GOVERNORATES-2024,0,[],bh_governorate,"Bahrain Open Data Policy: republication and distribution permitted, subject to applicable laws",4,0,,"Four matched current governorates; no areas, constituencies, or blocks are counted.",2026-08-16,SNP-BH-PRODUCTION-20260816,0
COV-BH-WHC-20260816,2.0.0,BH,SRC-UNESCO-WHC-BH-2026,True,100.0,3,DEN-BH-WHC-20260816,0,[],world_heritage_property,CC BY-SA 3.0 IGO for property descriptions,3,0,,Three matched inscribed serial properties; tentative-list sites and component parts are outside this denominator.,2026-08-16,SNP-BH-PRODUCTION-20260816,0
COV-DJ-CITY-COMMUNES,2.0.0,DJ,SRC-DJ-LAW-122-CITY-2005,True,100.0,3,DEN-DJ-CITY-COMMUNES,0,[],dj_commune,Official Djibouti public material; factual extraction with attribution; reuse terms not stated,3,0,,3/3 matched; topology-specific scope.,2026-08-16,SNP-DJ-PRODUCTION-20260816,0
COV-DJ-COUNTRY-SCOPE,2.0.0,DJ,SRC-ISO-3166-1-2020,True,100.0,1,DEN-DJ-COUNTRY-SCOPE,0,[],country_scope,ISO copyright; reuse is subject to ISO terms of use,1,0,,"This 100% applies only to the one-record country-scope layer, not to cities, villages, neighborhoods, lanes, or administrative tiers.",2026-08-15,SNP-MIGRATION-2026-08-15,0
COV-DJ-REGIONS,2.0.0,DJ,SRC-DJ-PRESIDENCY-REGIONS-2026,True,100.0,5,DEN-DJ-REGIONS,0,[],dj_region,Official Djibouti public material; factual extraction with attribution; reuse terms not stated,5,0,,5/5 matched; topology-specific scope.,2026-08-16,SNP-DJ-PRODUCTION-20260816,0
COV-DJ-SPECIAL-CITY,2.0.0,DJ,SRC-DJ-LAW-122-CITY-2005,True,100.0,1,DEN-DJ-SPECIAL-CITY,0,[],djibouti_city,Official Djibouti public material; factual extraction with attribution; reuse terms not stated,1,0,,1/1 matched; topology-specific scope.,2026-08-16,SNP-DJ-PRODUCTION-20260816,0
COV-DJ-SUBPREFECTURES,2.0.0,DJ,SRC-DJ-DECENTRALISATION-ROADMAP-2020,True,100.0,13,DEN-DJ-SUBPREFECTURES,0,[],dj_subprefecture,Official Djibouti public material; factual extraction with attribution; reuse terms not stated,13,0,,13/13 matched; topology-specific scope.,2026-08-16,SNP-DJ-PRODUCTION-20260816,0
COV-DZ-COUNTRY-SCOPE,2.0.0,DZ,SRC-ISO-3166-1-2020,True,100.0,1,DEN-DZ-COUNTRY-SCOPE,0,[],country_scope,ISO copyright; reuse is subject to ISO terms of use,1,0,,"This 100% applies only to the one-record country-scope layer, not to cities, villages, neighborhoods, lanes, or administrative tiers.",2026-08-15,SNP-MIGRATION-2026-08-15,0
COV-DZ-WILAYAS-CURRENT-2021,2.0.0,DZ,SRC-DZ-ONS-CGN-2021,True,100.0,58,DEN-DZ-WILAYAS-CURRENT-2021,0,[],dz_wilaya_current,Official Algeria legal/statistical material; factual extraction with attribution; reuse terms not stated,58,0,,58 current identities; proposed excluded.,2026-08-16,SNP-DZ-PRODUCTION-20260816,0
COV-DZ-WILAYAS-FUTURE-2027,2.0.0,DZ,SRC-DZ-INTERIOR-69-TRANSITION-2025,True,100.0,69,DEN-DZ-WILAYAS-FUTURE-2027,0,[],dz_wilaya_future,Official Algeria legal/statistical material; factual extraction with attribution; reuse terms not stated,69,0,,"58 retained plus 11 proposed identities; this is planning coverage, not current status.",2026-08-16,SNP-DZ-PRODUCTION-20260816,0
COV-EG-COUNTRY-SCOPE,2.0.0,EG,SRC-ISO-3166-1-2020,True,100.0,1,DEN-EG-COUNTRY-SCOPE,0,[],country_scope,ISO copyright; reuse is subject to ISO terms of use,1,0,,"This 100% applies only to the one-record country-scope layer, not to cities, villages, neighborhoods, lanes, or administrative tiers.",2026-08-15,SNP-MIGRATION-2026-08-15,0
COV-EG-GOVERNORATES,2.0.0,EG,SRC-EG-CAPMAS-27-GOVERNORATES-2021,True,100.0,27,DEN-EG-GOVERNORATES,0,[],eg_governorate,Official Egypt statistical/government material; factual extraction with attribution; reuse terms not stated,27,0,,27/27 matched profile records.,2026-08-16,SNP-EG-PRODUCTION-20260816,0
COV-EG-MIXED-PROFILES,2.0.0,EG,SRC-EG-CAPMAS-27-GOVERNORATES-2021,True,100.0,23,DEN-EG-MIXED-PROFILES,0,[],eg_governorate_mixed_profile,Official Egypt statistical/government material; factual extraction with attribution; reuse terms not stated,23,0,,23/23 matched profile records.,2026-08-16,SNP-EG-PRODUCTION-20260816,0
COV-EG-URBAN-PROFILES,2.0.0,EG,SRC-EG-CAPMAS-27-GOVERNORATES-2021,True,100.0,4,DEN-EG-URBAN-PROFILES,0,[],eg_governorate_urban_profile,Official Egypt statistical/government material; factual extraction with attribution; reuse terms not stated,4,0,,4/4 matched profile records.,2026-08-16,SNP-EG-PRODUCTION-20260816,0
COV-IQ-COUNTRY-SCOPE,2.0.0,IQ,SRC-ISO-3166-1-2020,True,100.0,1,DEN-IQ-COUNTRY-SCOPE,0,[],country_scope,ISO copyright; reuse is subject to ISO terms of use,1,0,,"This 100% applies only to the one-record country-scope layer, not to cities, villages, neighborhoods, lanes, or administrative tiers.",2026-08-15,SNP-MIGRATION-2026-08-15,0
COV-JO-BOUNDED-PLACES-2026,2.0.0,JO,SRC-UNESCO-WHC-JO-2026,True,100.0,4,DEN-JO-BOUNDED-PLACES-2026,0,[],bounded_populated_place,UNESCO website terms; individual descriptions are separately licensed CC BY-SA 3.0 IGO,4,0,,Closed pilot extraction from the eight in-scope property descriptions; it is not a denominator for all populated places in Jordan. Equation closed: matched + excluded = denominator; unmatched and missing are zero.,2026-08-15,SNP-JO-PILOT-2026-08-15,0
COV-JO-COUNTRY-SCOPE,2.0.0,JO,SRC-ISO-3166-1-2020,True,100.0,1,DEN-JO-COUNTRY-SCOPE,0,[],country_scope,ISO copyright; reuse is subject to ISO terms of use,1,0,,"This 100% applies only to the one-record country-scope layer, not to cities, villages, neighborhoods, lanes, or administrative tiers.",2026-08-15,SNP-MIGRATION-2026-08-15,0
COV-JO-GOVERNORATE-2026,2.0.0,JO,SRC-JO-REGULATION-29-2024,True,100.0,12,DEN-JO-GOVERNORATE-2026,0,[],jo_governorate,Publicly accessible factual record; resource-specific reuse terms not stated,12,0,,All twelve legal governorates in the current amended regulation. Equation closed: matched + excluded = denominator; unmatched and missing are zero.,2026-08-15,SNP-JO-PILOT-2026-08-15,0
COV-JO-LIWA-2026,2.0.0,JO,SRC-JO-REGULATION-29-2024,True,100.0,55,DEN-JO-LIWA-2026,0,[],jo_liwa,Publicly accessible factual record; resource-specific reuse terms not stated,55,0,,All current legal liwa: pre-amendment 51 plus four created/promoted in 2024. Equation closed: matched + excluded = denominator; unmatched and missing are zero.,2026-08-15,SNP-JO-PILOT-2026-08-15,0
COV-JO-QADA-2026,2.0.0,JO,SRC-JO-REGULATION-29-2024,True,100.0,36,DEN-JO-QADA-2026,0,[],jo_qada,Publicly accessible factual record; resource-specific reuse terms not stated,36,0,,All current subordinate legal qada: pre-amendment 38 less Moab and Bal'ama promoted to liwa. Equation closed: matched + excluded = denominator; unmatched and missing are zero.,2026-08-15,SNP-JO-PILOT-2026-08-15,0
COV-JO-WHC-2026,2.0.0,JO,SRC-UNESCO-WHC-JO-2026,True,100.0,8,DEN-JO-WHC-2026,0,[],world_heritage_property,UNESCO website terms; individual descriptions are separately licensed CC BY-SA 3.0 IGO,8,0,,All World Heritage properties on Jordan's State Party register at the snapshot date. Equation closed: matched + excluded = denominator; unmatched and missing are zero.,2026-08-15,SNP-JO-PILOT-2026-08-15,0
COV-KM-COMMUNES,2.0.0,KM,SRC-KM-LAW-11-006-AU-2011,True,100.0,54,DEN-KM-COMMUNES,0,[],km_commune,Official Comoros public/statistical material; factual extraction with attribution; reuse terms not stated,54,0,,54/54 matched.,2026-08-17,SNP-KM-PRODUCTION-20260817,0
COV-KM-COUNTRY-SCOPE,2.0.0,KM,SRC-ISO-3166-1-2020,True,100.0,1,DEN-KM-COUNTRY-SCOPE,0,[],country_scope,ISO copyright; reuse is subject to ISO terms of use,1,0,,"This 100% applies only to the one-record country-scope layer, not to cities, villages, neighborhoods, lanes, or administrative tiers.",2026-08-15,SNP-MIGRATION-2026-08-15,0
COV-KM-ISLANDS,2.0.0,KM,SRC-KM-LAW-11-006-AU-2011,True,100.0,3,DEN-KM-ISLANDS,0,[],km_island,Official Comoros public/statistical material; factual extraction with attribution; reuse terms not stated,3,0,,3/3 matched.,2026-08-17,SNP-KM-PRODUCTION-20260817,0
COV-KM-PREFECTURES,2.0.0,KM,SRC-KM-LAW-11-006-AU-2011,True,100.0,16,DEN-KM-PREFECTURES,0,[],km_prefecture,Official Comoros public/statistical material; factual extraction with attribution; reuse terms not stated,16,0,,16/16 matched.,2026-08-17,SNP-KM-PRODUCTION-20260817,0
COV-KM-WHC,2.0.0,KM,SRC-UNESCO-WHC-KM-1768-2026,True,100.0,1,DEN-KM-WHC,0,[],world_heritage_property,CC BY-SA 3.0 IGO for UNESCO descriptions,1,0,,1/1 matched.,2026-08-17,SNP-KM-PRODUCTION-20260817,0
COV-KW-COUNTRY-SCOPE,2.0.0,KW,SRC-ISO-3166-1-2020,True,100.0,1,DEN-KW-COUNTRY-SCOPE,0,[],country_scope,ISO copyright; reuse is subject to ISO terms of use,1,0,,"This 100% applies only to the one-record country-scope layer, not to cities, villages, neighborhoods, lanes, or administrative tiers.",2026-08-15,SNP-MIGRATION-2026-08-15,0
COV-KW-GOVERNORATES-2021,2.0.0,KW,SRC-KW-CSB-CENSUS-GOVERNORATES-2021,True,100.0,6,DEN-KW-GOVERNORATES-2021,0,[],kw_governorate,Kuwait government statistical publication; factual extraction with attribution; reuse terms not stated,6,0,,Six matched governorates. Not Stated population is not an entity; areas and blocks are outside scope.,2026-08-16,SNP-KW-PRODUCTION-20260816,0
COV-KW-WHC-20260816,2.0.0,KW,SRC-UNESCO-WHC-KW-2026,True,100.0,0,DEN-KW-WHC-20260816,0,[],world_heritage_property,CC BY-SA 3.0 IGO for property descriptions,0,0,,Zero matched of zero inscribed properties; six tentative-list sites excluded by definition.,2026-08-16,SNP-KW-PRODUCTION-20260816,0
COV-LB-COUNTRY-SCOPE,2.0.0,LB,SRC-ISO-3166-1-2020,True,100.0,1,DEN-LB-COUNTRY-SCOPE,0,[],country_scope,ISO copyright; reuse is subject to ISO terms of use,1,0,,"This 100% applies only to the one-record country-scope layer, not to cities, villages, neighborhoods, lanes, or administrative tiers.",2026-08-15,SNP-MIGRATION-2026-08-15,0
COV-LB-DISTRICTS-CURRENT,2.0.0,LB,SRC-LB-MOIM-ADMINISTRATION-2026,True,100.0,26,DEN-LB-DISTRICTS-CURRENT,0,[],lb_district,Official Lebanon public/statistical material; factual extraction with attribution; reuse terms not stated,26,0,,26/26 identities represented; survey layer is historical where applicable.,2026-08-16,SNP-LB-PRODUCTION-20260816,0
COV-LB-GOVERNORATES-CURRENT,2.0.0,LB,SRC-LB-MOIM-ADMINISTRATION-2026,True,100.0,9,DEN-LB-GOVERNORATES-CURRENT,0,[],lb_governorate,Official Lebanon public/statistical material; factual extraction with attribution; reuse terms not stated,9,0,,9/9 identities represented; survey layer is historical where applicable.,2026-08-16,SNP-LB-PRODUCTION-20260816,0
COV-LB-GOVERNORATES-SURVEY-2019,2.0.0,LB,SRC-LB-CAS-26-DISTRICTS-2019,True,100.0,8,DEN-LB-GOVERNORATES-SURVEY-2019,0,[],lb_governorate_survey_frame,Official Lebanon public/statistical material; factual extraction with attribution; reuse terms not stated,8,0,,8/8 identities represented; survey layer is historical where applicable.,2026-08-16,SNP-LB-PRODUCTION-20260816,0
COV-LY-COUNTRY-SCOPE,2.0.0,LY,SRC-ISO-3166-1-2020,True,100.0,1,DEN-LY-COUNTRY-SCOPE,0,[],country_scope,ISO copyright; reuse is subject to ISO terms of use,1,0,,"This 100% applies only to the one-record country-scope layer, not to cities, villages, neighborhoods, lanes, or administrative tiers.",2026-08-15,SNP-MIGRATION-2026-08-15,0
COV-LY-CURRENT-MUNICIPALITIES,2.0.0,LY,SRC-LY-MOLG-MUNICIPALITIES-2026,False,,,DEN-LY-CURRENT-MUNICIPALITIES,90,"[{""count"":90,""reason"":""Legacy rows were retained in quarantine because they lack an atomic canonical source; these are audit exclusions, not evidence of a national denominator.""}]",current_municipalities,License not stated on the source page,93,,"A dated, reproducible national denominator remains unresolved; legacy material is only a matched subset and missing municipalities were not guessed or mass-added.",,2026-08-15,SNP-LY-MUNICIPALITIES-2026-08-15,3
COV-LY-HISTORICAL-SHABIYAT-2006,2.0.0,LY,SRC-LY-BSC-CENSUS-2006,True,100.0,22,DEN-LY-HISTORICAL-SHABIYAT-2006,0,[],historical_shabiyat_2006,License not stated on the source page,22,0,,This 100% is a historical 2006 layer only and says nothing about current municipalities.,2006-04-15,SNP-LY-CENSUS-2006,0
COV-LY-MAHALLAS,2.0.0,LY,SRC-LY-MOLG-MUNICIPALITIES-2026,False,,,DEN-LY-MAHALLAS,0,[],mahallas,License not stated on the source page,0,,No dated national denominator or complete source snapshot was verified.,,2026-08-15,SNP-LY-MUNICIPALITIES-2026-08-15,0
COV-MA-COUNTRY-SCOPE,2.0.0,MA,SRC-ISO-3166-1-2020,True,100.0,1,DEN-MA-COUNTRY-SCOPE,0,[],country_scope,ISO copyright; reuse is subject to ISO terms of use,1,0,,"This 100% applies only to the one-record country-scope layer, not to cities, villages, neighborhoods, lanes, or administrative tiers.",2026-08-15,SNP-MIGRATION-2026-08-15,0
COV-MA-PREFECTURES,2.0.0,MA,SRC-MA-DGCT-DECREE-2-15-10,True,100.0,13,DEN-MA-PREFECTURES,0,[],ma_prefecture,Official Morocco public material; factual extraction with attribution; reuse terms not stated,13,0,,13/13 matched.,2026-08-16,SNP-MA-PRODUCTION-20260816,0
COV-MA-PROVINCES,2.0.0,MA,SRC-MA-DGCT-DECREE-2-15-10,True,100.0,62,DEN-MA-PROVINCES,0,[],ma_province,Official Morocco public material; factual extraction with attribution; reuse terms not stated,62,0,,62/62 matched.,2026-08-16,SNP-MA-PRODUCTION-20260816,0
COV-MA-REGIONS,2.0.0,MA,SRC-MA-DGCT-DECREE-2-15-10,True,100.0,12,DEN-MA-REGIONS,0,[],ma_region,Official Morocco public material; factual extraction with attribution; reuse terms not stated,12,0,,12/12 matched.,2026-08-16,SNP-MA-PRODUCTION-20260816,0
COV-MR-COUNTRY-SCOPE,2.0.0,MR,SRC-ISO-3166-1-2020,True,100.0,1,DEN-MR-COUNTRY-SCOPE,0,[],country_scope,ISO copyright; reuse is subject to ISO terms of use,1,0,,"This 100% applies only to the one-record country-scope layer, not to cities, villages, neighborhoods, lanes, or administrative tiers.",2026-08-15,SNP-MIGRATION-2026-08-15,0
COV-MR-NOUAKCHOTT-WILAYAS,2.0.0,MR,SRC-MR-DGAT-15-63-2026,True,100.0,3,DEN-MR-NOUAKCHOTT-WILAYAS,0,[],mr_wilaya_nouakchott_profile,Official Mauritania administrative/statistical material; factual extraction with attribution; reuse terms not stated,3,0,,3/3 matched.,2026-08-16,SNP-MR-PRODUCTION-20260816,0
COV-MR-REGIONAL-WILAYAS,2.0.0,MR,SRC-MR-DGAT-15-63-2026,True,100.0,12,DEN-MR-REGIONAL-WILAYAS,0,[],mr_wilaya_regional_profile,Official Mauritania administrative/statistical material; factual extraction with attribution; reuse terms not stated,12,0,,12/12 matched.,2026-08-16,SNP-MR-PRODUCTION-20260816,0
COV-MR-WILAYAS,2.0.0,MR,SRC-MR-DGAT-15-63-2026,True,100.0,15,DEN-MR-WILAYAS,0,[],mr_wilaya,Official Mauritania administrative/statistical material; factual extraction with attribution; reuse terms not stated,15,0,,15/15 matched.,2026-08-16,SNP-MR-PRODUCTION-20260816,0
COV-OM-COUNTRY-SCOPE,2.0.0,OM,SRC-ISO-3166-1-2020,True,100.0,1,DEN-OM-COUNTRY-SCOPE,0,[],country_scope,ISO copyright; reuse is subject to ISO terms of use,1,0,,"This 100% applies only to the one-record country-scope layer, not to cities, villages, neighborhoods, lanes, or administrative tiers.",2026-08-15,SNP-MIGRATION-2026-08-15,0
COV-OM-GOVERNORATES-2022,2.0.0,OM,SRC-OM-RD-36-2022-GOVERNORATES,True,100.0,11,DEN-OM-GOVERNORATES-2022,0,[],om_governorate,Official Oman legal/statistical material; factual extraction with attribution; reuse terms not stated,11,0,,11/11 legal governorates.,2026-08-16,SNP-OM-PRODUCTION-20260816,0
COV-OM-WILAYATS-2022,2.0.0,OM,SRC-OM-RD-36-2022-GOVERNORATES,True,100.0,63,DEN-OM-WILAYATS-2022,0,[],om_wilaya,Official Oman legal/statistical material; factual extraction with attribution; reuse terms not stated,63,0,,63/63 reconciled legal wilayats.,2026-08-16,SNP-OM-PRODUCTION-20260816,0
COV-PS-COUNTRY-SCOPE,2.0.0,PS,SRC-ISO-3166-1-2020,True,100.0,1,DEN-PS-COUNTRY-SCOPE,0,[],country_scope,ISO copyright; reuse is subject to ISO terms of use,1,0,,"This 100% applies only to the one-record country-scope layer, not to cities, villages, neighborhoods, lanes, or administrative tiers.",2026-08-15,SNP-MIGRATION-2026-08-15,0
COV-PS-GAZA,2.0.0,PS,SRC-PS-PCBS-16-GOVERNORATES,True,100.0,5,DEN-PS-GAZA,0,[],ps_governorate_gaza,Official Palestine statistical/government material; factual extraction with attribution; reuse terms not stated,5,0,,5/5 matched; legal/statistical or UNESCO scope only.,2026-08-17,SNP-PS-PRODUCTION-20260817,0
COV-PS-GOVERNORATES,2.0.0,PS,SRC-PS-PCBS-16-GOVERNORATES,True,100.0,16,DEN-PS-GOVERNORATES,0,[],ps_governorate,Official Palestine statistical/government material; factual extraction with attribution; reuse terms not stated,16,0,,16/16 matched; legal/statistical or UNESCO scope only.,2026-08-17,SNP-PS-PRODUCTION-20260817,0
COV-PS-WEST-BANK,2.0.0,PS,SRC-PS-PCBS-16-GOVERNORATES,True,100.0,11,DEN-PS-WEST-BANK,0,[],ps_governorate_west_bank,Official Palestine statistical/government material; factual extraction with attribution; reuse terms not stated,11,0,,11/11 matched; legal/statistical or UNESCO scope only.,2026-08-17,SNP-PS-PRODUCTION-20260817,0
COV-PS-WHC,2.0.0,PS,SRC-UNESCO-WHC-PS-2026,True,100.0,6,DEN-PS-WHC,0,[],world_heritage_property,CC BY-SA 3.0 IGO for UNESCO descriptions,6,0,,6/6 matched; legal/statistical or UNESCO scope only.,2026-08-17,SNP-PS-PRODUCTION-20260817,0
COV-QA-COUNTRY-SCOPE,2.0.0,QA,SRC-ISO-3166-1-2020,True,100.0,1,DEN-QA-COUNTRY-SCOPE,0,[],country_scope,ISO copyright; reuse is subject to ISO terms of use,1,0,,"This 100% applies only to the one-record country-scope layer, not to cities, villages, neighborhoods, lanes, or administrative tiers.",2026-08-15,SNP-MIGRATION-2026-08-15,0
COV-QA-MUNICIPALITIES-2020,2.0.0,QA,SRC-QA-PSA-CENSUS-MUNICIPALITIES-2020,True,100.0,8,DEN-QA-MUNICIPALITIES-2020,0,[],qa_municipality,Qatar government statistical publication; factual extraction with attribution; reuse terms not stated,8,0,,Eight matched municipalities; zones/blocks excluded.,2026-08-16,SNP-QA-PRODUCTION-20260816,0
COV-QA-WHC-20260816,2.0.0,QA,SRC-UNESCO-WHC-QA-1402,True,100.0,1,DEN-QA-WHC-20260816,0,[],world_heritage_property,CC BY-SA 3.0 IGO for property descriptions,1,0,,One matched inscribed property.,2026-08-16,SNP-QA-PRODUCTION-20260816,0
COV-SA-CENTER-OCCURRENCES-20260815,2.0.0,SA,SRC-SA-ADMIN-SNAPSHOT-CATALOG-2026,True,100.0,1523,DEN-SA-CENTER-OCCURRENCES-20260815,2,"[{""count"":2,""reason"":""Exact repeated occurrence under the same source parent: الرقعي in حفر الباطن and الربواء in الرين; first occurrence retained.""}]",sa_markaz_published_occurrences,Source copyright; factual extraction with attribution,1521,0,,A 100% value applies only to this exact denominator definition.,2026-08-15,SNP-SA-ADMIN-20260815,0
COV-SA-CURRENT-CENTERS-20260815,2.0.0,SA,SRC-SA-SAUDIPEDIA-ADMIN-2026,False,,,DEN-SA-CURRENT-CENTERS-20260815,0,[],sa_markaz_current_national,Source copyright; factual extraction with attribution,1521,,"Current-national center denominator is conflicted: Saudipedia reports 1,377 nationally while regional pages declare 1,528 and yield 1,523 parsed occurrences; 1,521 unique parent-scoped rows are materialized separately.",No coverage percentage is asserted.,2026-08-15,SNP-SA-ADMIN-20260815,0
COV-SA-CURRENT-GOVERNORATES-20260815,2.0.0,SA,SRC-SA-SAUDIPEDIA-ADMIN-2026,False,,,DEN-SA-CURRENT-GOVERNORATES-20260815,0,[],sa_governorate_current_national,Source copyright; factual extraction with attribution,141,,Current-national governorate denominator is conflicted: Saudipedia reports 150 while GASTAT methodology for 2024 reports 151; 141 dated table rows are materialized separately.,No coverage percentage is asserted.,2026-08-15,SNP-SA-ADMIN-20260815,0
COV-SA-CURRENT-NAWAHI-20260815,2.0.0,SA,SRC-SA-LAW-OF-PROVINCES-1992,False,,,DEN-SA-CURRENT-NAWAHI-20260815,0,[],sa_nahiya_current_national,Source copyright; factual extraction with attribution,0,,"The current Law of Provinces names النواحي as a legal component, but no dated enumerable official national registry of active nawahi was accepted in this cycle.",No coverage percentage is asserted.,2026-08-15,SNP-SA-ADMIN-20260815,0
COV-SA-GOVERNORATE-ROWS-20260815,2.0.0,SA,SRC-SA-ADMIN-SNAPSHOT-CATALOG-2026,True,100.0,141,DEN-SA-GOVERNORATE-ROWS-20260815,0,[],sa_governorate_published_rows,Source copyright; factual extraction with attribution,141,0,,A 100% value applies only to this exact denominator definition.,2026-08-15,SNP-SA-ADMIN-20260815,0
COV-SA-NEIGHBORHOODS-20260815,2.0.0,SA,SRC-SA-CULTURAL-FIXTURE-2026,False,,,DEN-SA-NEIGHBORHOODS-20260815,0,[],neighborhoods,Source copyright; factual extraction with attribution,0,,"No dated, atomic, current official national neighborhood registry was accepted in this cycle.",No coverage percentage is asserted.,2026-08-15,SNP-SA-ADMIN-20260815,0
