id,schema_version,country_code,canonical_name,entity_type,status,canonical_name_language,canonical_source_id,confidence,coordinates,legacy_ids,notes,source_locator,valid_from,valid_to,verification_status
ENT-AE-DUBAI-SECTOR-5,2.0.0,AE,Sector 5,ae_dubai_planning_sector,current,en,SRC-AE-DSC-SECTORS-2022,high,,[],Contextual UAE type; layer=dubai_planning_sectors; snapshot=2026-08-15. Administrative entities do not receive invented point coordinates.,"Population Bulletin 2022, Population Distribution by Sector / sector 5",,,source_verified
ENT-AE-DUBAI-SECTOR-6,2.0.0,AE,Sector 6,ae_dubai_planning_sector,current,en,SRC-AE-DSC-SECTORS-2022,high,,[],Contextual UAE type; layer=dubai_planning_sectors; snapshot=2026-08-15. Administrative entities do not receive invented point coordinates.,"Population Bulletin 2022, Population Distribution by Sector / sector 6",,,source_verified
ENT-AE-DUBAI-SECTOR-7,2.0.0,AE,Sector 7,ae_dubai_planning_sector,current,en,SRC-AE-DSC-SECTORS-2022,high,,[],Contextual UAE type; layer=dubai_planning_sectors; snapshot=2026-08-15. Administrative entities do not receive invented point coordinates.,"Population Bulletin 2022, Population Distribution by Sector / sector 7",,,source_verified
ENT-AE-DUBAI-SECTOR-8,2.0.0,AE,Sector 8,ae_dubai_planning_sector,current,en,SRC-AE-DSC-SECTORS-2022,high,,[],Contextual UAE type; layer=dubai_planning_sectors; snapshot=2026-08-15. Administrative entities do not receive invented point coordinates.,"Population Bulletin 2022, Population Distribution by Sector / sector 8",,,source_verified
ENT-AE-DUBAI-SECTOR-9,2.0.0,AE,Sector 9,ae_dubai_planning_sector,current,en,SRC-AE-DSC-SECTORS-2022,high,,[],Contextual UAE type; layer=dubai_planning_sectors; snapshot=2026-08-15. Administrative entities do not receive invented point coordinates.,"Population Bulletin 2022, Population Distribution by Sector / sector 9",,,source_verified
ENT-AE-EMIRATE-ABU-DHABI,2.0.0,AE,Abu Dhabi,ae_emirate,current,en,SRC-AE-FEDERAL-SEVEN-EMIRATES-2026,high,,[],Contextual UAE type; layer=emirates; snapshot=2026-08-15. Administrative entities do not receive invented point coordinates.,The Seven Emirates list: Abu Dhabi,,,source_verified
ENT-AE-EMIRATE-AJMAN,2.0.0,AE,Ajman,ae_emirate,current,en,SRC-AE-FEDERAL-SEVEN-EMIRATES-2026,high,,[],Contextual UAE type; layer=emirates; snapshot=2026-08-15. Administrative entities do not receive invented point coordinates.,The Seven Emirates list: Ajman,,,source_verified
ENT-AE-EMIRATE-DUBAI,2.0.0,AE,Dubai,ae_emirate,current,en,SRC-AE-FEDERAL-SEVEN-EMIRATES-2026,high,,[],Contextual UAE type; layer=emirates; snapshot=2026-08-15. Administrative entities do not receive invented point coordinates.,The Seven Emirates list: Dubai,,,source_verified
ENT-AE-EMIRATE-FUJAIRAH,2.0.0,AE,Fujairah,ae_emirate,current,en,SRC-AE-FEDERAL-SEVEN-EMIRATES-2026,high,,[],Contextual UAE type; layer=emirates; snapshot=2026-08-15. Administrative entities do not receive invented point coordinates.,The Seven Emirates list: Fujairah,,,source_verified
ENT-AE-EMIRATE-RAS-AL-KHAIMAH,2.0.0,AE,Ras Al Khaimah,ae_emirate,current,en,SRC-AE-FEDERAL-SEVEN-EMIRATES-2026,high,,[],Contextual UAE type; layer=emirates; snapshot=2026-08-15. Administrative entities do not receive invented point coordinates.,The Seven Emirates list: Ras Al Khaimah,,,source_verified
ENT-AE-EMIRATE-SHARJAH,2.0.0,AE,Sharjah,ae_emirate,current,en,SRC-AE-FEDERAL-SEVEN-EMIRATES-2026,high,,[],Contextual UAE type; layer=emirates; snapshot=2026-08-15. Administrative entities do not receive invented point coordinates.,The Seven Emirates list: Sharjah,,,source_verified
ENT-AE-EMIRATE-UMM-AL-QUWAIN,2.0.0,AE,Umm Al Quwain,ae_emirate,current,en,SRC-AE-FEDERAL-SEVEN-EMIRATES-2026,high,,[],Contextual UAE type; layer=emirates; snapshot=2026-08-15. Administrative entities do not receive invented point coordinates.,The Seven Emirates list: Umm Al Quwain,,,source_verified
ENT-AE-FALAJ-AL-MUALLA-MUNICIPALITY,2.0.0,AE,Municipality of Falaj Al Mualla,ae_uaq_municipal_authority,current,en,SRC-AE-UAQ-EXECUTIVE-COUNCIL-2026,high,,[],Contextual UAE type; layer=uaq_municipal_authorities; snapshot=2026-08-15. Administrative entities do not receive invented point coordinates.,"Executive Council standing committee list, item 3",,,source_verified
ENT-AE-FUJAIRAH-MUNICIPALITY,2.0.0,AE,Fujairah Municipality,ae_fujairah_municipal_authority,current,en,SRC-AE-FUJAIRAH-GIS-2017,high,,[],Contextual UAE type; layer=fujairah_municipal_authorities; snapshot=2026-08-15. Administrative entities do not receive invented point coordinates.,GIS centre establishment paragraph: Fujairah Municipality,,,source_verified
ENT-AE-KALBA-MUNICIPALITY,2.0.0,AE,Kalba City Municipality,ae_sharjah_municipality_jurisdiction,current,en,SRC-AE-SGMB-MUNICIPALITIES-2023,high,,[],Contextual UAE type; layer=sharjah_municipality_jurisdictions; snapshot=2026-08-15. Administrative entities do not receive invented point coordinates.,municipality enumeration: Kalba City Municipality,,,source_verified
ENT-AE-KHORFAKKAN-MUNICIPALITY,2.0.0,AE,Khorfakkan City Municipality,ae_sharjah_municipality_jurisdiction,current,en,SRC-AE-SGMB-MUNICIPALITIES-2023,high,,[],Contextual UAE type; layer=sharjah_municipality_jurisdictions; snapshot=2026-08-15. Administrative entities do not receive invented point coordinates.,municipality enumeration: Khorfakkan City Municipality,,,source_verified
ENT-AE-MANAMA-CONSTITUENT,2.0.0,AE,Manama,ae_ajman_constituent,current,en,SRC-AE-AJMAN-ABOUT-2026,high,,[],Contextual UAE type; layer=ajman_constituents; snapshot=2026-08-15. Administrative entities do not receive invented point coordinates.,overview clause and “Manama area” heading,,,source_verified
ENT-AE-MASFOUT-CONSTITUENT,2.0.0,AE,Masfout,ae_ajman_constituent,current,en,SRC-AE-AJMAN-ABOUT-2026,high,,[],Contextual UAE type; layer=ajman_constituents; snapshot=2026-08-15. Administrative entities do not receive invented point coordinates.,overview clause and “Masfout area” heading,,,source_verified
ENT-AE-MLEIHA-MUNICIPALITY,2.0.0,AE,Mleiha Region Municipality,ae_sharjah_municipality_jurisdiction,current,en,SRC-AE-SGMB-MUNICIPALITIES-2023,high,,[],Contextual UAE type; layer=sharjah_municipality_jurisdictions; snapshot=2026-08-15. Administrative entities do not receive invented point coordinates.,municipality enumeration: Mleiha Region Municipality,,,source_verified
ENT-AE-RAK-AREA-1,2.0.0,AE,First Administrative Area — Ras Al Khaimah City to Al Jazirah Al Hamra,ae_rak_administrative_area,current,en,SRC-AE-RAK-GENERAL-2026,high,,[],Contextual UAE type; layer=rak_administrative_areas; snapshot=2026-08-15. Administrative entities do not receive invented point coordinates.,The First Area paragraph,,,source_verified
ENT-AE-RAK-AREA-2,2.0.0,AE,Second Administrative Area — Northern Area,ae_rak_administrative_area,current,en,SRC-AE-RAK-GENERAL-2026,high,,[],Contextual UAE type; layer=rak_administrative_areas; snapshot=2026-08-15. Administrative entities do not receive invented point coordinates.,The Second Area paragraph,,,source_verified
ENT-AE-RAK-AREA-3,2.0.0,AE,Third Administrative Area — Southern Area,ae_rak_administrative_area,current,en,SRC-AE-RAK-GENERAL-2026,high,,[],Contextual UAE type; layer=rak_administrative_areas; snapshot=2026-08-15. Administrative entities do not receive invented point coordinates.,The Third Area paragraph,,,source_verified
ENT-AE-RAK-AREA-4,2.0.0,AE,Fourth Administrative Area — Al Nakheel,ae_rak_administrative_area,current,en,SRC-AE-RAK-GENERAL-2026,high,,[],Contextual UAE type; layer=rak_administrative_areas; snapshot=2026-08-15. Administrative entities do not receive invented point coordinates.,The Fourth Area paragraph,,,source_verified
ENT-AE-RAK-AREA-5,2.0.0,AE,Fifth Administrative Area — Al Dhait South to Al Khatt,ae_rak_administrative_area,current,en,SRC-AE-RAK-GENERAL-2026,high,,[],Contextual UAE type; layer=rak_administrative_areas; snapshot=2026-08-15. Administrative entities do not receive invented point coordinates.,The Fifth Area paragraph,,,source_verified
ENT-AE-SHARJAH-CITY-MUNICIPALITY,2.0.0,AE,Sharjah City Municipality,ae_sharjah_municipality_jurisdiction,current,en,SRC-AE-SGMB-MUNICIPALITIES-2023,high,,[],Contextual UAE type; layer=sharjah_municipality_jurisdictions; snapshot=2026-08-15. Administrative entities do not receive invented point coordinates.,municipality enumeration: Sharjah City Municipality,,,source_verified
ENT-AE-UAQ-MUNICIPALITY,2.0.0,AE,Municipality of Umm Al Quwain,ae_uaq_municipal_authority,current,en,SRC-AE-UAQ-EXECUTIVE-COUNCIL-2026,high,,[],Contextual UAE type; layer=uaq_municipal_authorities; snapshot=2026-08-15. Administrative entities do not receive invented point coordinates.,"Executive Council standing committee list, item 2",,,source_verified
ENT-BH-COUNTRY,2.0.0,BH,البحرين,country,current,ar,SRC-ISO-3166-1-2020,high,,[],Project country scope; this entity does not imply local-place completeness.,ISO alpha-2 entry BH,,,verified
ENT-DJ-COUNTRY,2.0.0,DJ,جيبوتي,country,current,ar,SRC-ISO-3166-1-2020,high,,[],Project country scope; this entity does not imply local-place completeness.,ISO alpha-2 entry DJ,,,verified
ENT-DZ-COUNTRY,2.0.0,DZ,الجزائر,country,current,ar,SRC-ISO-3166-1-2020,high,,[],Project country scope; this entity does not imply local-place completeness.,ISO alpha-2 entry DZ,,,verified
ENT-EG-COUNTRY,2.0.0,EG,مصر,country,current,ar,SRC-ISO-3166-1-2020,high,,[],Project country scope; this entity does not imply local-place completeness.,ISO alpha-2 entry EG,,,verified
ENT-IQ-COUNTRY,2.0.0,IQ,العراق,country,current,ar,SRC-ISO-3166-1-2020,high,,[],Project country scope; this entity does not imply local-place completeness.,ISO alpha-2 entry IQ,,,verified
ENT-JO-CITY-0E2F3C63BD3B,2.0.0,JO,السلط,city,current,ar,SRC-UNESCO-WHC-JO-689,high,"{""latitude"":32.042611,""longitude"":35.728306,""source_id"":""SRC-UNESCO-WHC-JO-689""}",[],Bounded populated/historical-place pilot entity; not an administrative unit.,Property 689rev brief description explicitly calls As-Salt a city,,,verified
ENT-JO-COUNTRY,2.0.0,JO,الأردن,country,current,ar,SRC-ISO-3166-1-2020,high,,[],Project country scope; this entity does not imply local-place completeness.,ISO alpha-2 entry JO,,,verified
ENT-JO-GOVERNORATE-20430BE80A89,2.0.0,JO,المفرق,jo_governorate,current,ar,SRC-JO-REGULATION-46-2000,high,,[],Current legal governorate; a governorate is not conflated with its same-name city or administrative seat.,"Regulation No. 46 of 2000, Article 2 and Article 10",,,verified
ENT-JO-GOVERNORATE-513EDEC3570B,2.0.0,JO,معان,jo_governorate,current,ar,SRC-JO-REGULATION-46-2000,high,,[],Current legal governorate; a governorate is not conflated with its same-name city or administrative seat.,"Regulation No. 46 of 2000, Article 2 and Article 8",,,verified
ENT-JO-GOVERNORATE-59A1DEF0AA35,2.0.0,JO,إربد,jo_governorate,current,ar,SRC-JO-REGULATION-46-2000,high,,[],Current legal governorate; a governorate is not conflated with its same-name city or administrative seat.,"Regulation No. 46 of 2000, Article 2 and Article 5",,,verified
ENT-JO-GOVERNORATE-644B08430E58,2.0.0,JO,العاصمة,jo_governorate,current,ar,SRC-JO-REGULATION-46-2000,high,,[],Current legal governorate; a governorate is not conflated with its same-name city or administrative seat.,"Regulation No. 46 of 2000, Article 2 and Article 4",,,verified
ENT-JO-GOVERNORATE-95F2BA8F63F9,2.0.0,JO,عجلون,jo_governorate,current,ar,SRC-JO-REGULATION-46-2000,high,,[],Current legal governorate; a governorate is not conflated with its same-name city or administrative seat.,"Regulation No. 46 of 2000, Article 2 and Article 14",,,verified
ENT-JO-GOVERNORATE-AA6EDAA40E42,2.0.0,JO,العقبة,jo_governorate,current,ar,SRC-JO-REGULATION-46-2000,high,,[],Current legal governorate; a governorate is not conflated with its same-name city or administrative seat.,"Regulation No. 46 of 2000, Article 2 and Article 15",,,verified
ENT-JO-GOVERNORATE-CAA34B5247BD,2.0.0,JO,الطفيلة,jo_governorate,current,ar,SRC-JO-REGULATION-46-2000,high,,[],Current legal governorate; a governorate is not conflated with its same-name city or administrative seat.,"Regulation No. 46 of 2000, Article 2 and Article 11",,,verified
ENT-JO-GOVERNORATE-CF8CA19A5F65,2.0.0,JO,الكرك,jo_governorate,current,ar,SRC-JO-REGULATION-46-2000,high,,[],Current legal governorate; a governorate is not conflated with its same-name city or administrative seat.,"Regulation No. 46 of 2000, Article 2 and Article 7",,,verified
ENT-JO-GOVERNORATE-D568D76A8FF7,2.0.0,JO,البلقاء,jo_governorate,current,ar,SRC-JO-REGULATION-46-2000,high,,[],Current legal governorate; a governorate is not conflated with its same-name city or administrative seat.,"Regulation No. 46 of 2000, Article 2 and Article 6",,,verified
ENT-JO-GOVERNORATE-E6B6D2939853,2.0.0,JO,مادبا,jo_governorate,current,ar,SRC-JO-REGULATION-46-2000,high,,[],Current legal governorate; a governorate is not conflated with its same-name city or administrative seat.,"Regulation No. 46 of 2000, Article 2 and Article 12",,,verified
ENT-JO-GOVERNORATE-F18D55CC6398,2.0.0,JO,الزرقاء,jo_governorate,current,ar,SRC-JO-REGULATION-46-2000,high,,[],Current legal governorate; a governorate is not conflated with its same-name city or administrative seat.,"Regulation No. 46 of 2000, Article 2 and Article 9",,,verified
ENT-JO-GOVERNORATE-F7030BE732D5,2.0.0,JO,جرش,jo_governorate,current,ar,SRC-JO-REGULATION-46-2000,high,,[],Current legal governorate; a governorate is not conflated with its same-name city or administrative seat.,"Regulation No. 46 of 2000, Article 2 and Article 13",,,verified
ENT-JO-LIWA-022EF53C1970,2.0.0,JO,قصبة عجلون,jo_liwa,current,ar,SRC-JO-REGULATION-46-2000,high,,[],"Current legal liwa; administrative center is represented as a sourced claim, not as an administrative child.","Regulation No. 46 of 2000, Article 14; Liwa قصبة عجلون clause",,,verified
ENT-JO-LIWA-05A773331E02,2.0.0,JO,ناعور,jo_liwa,current,ar,SRC-JO-REGULATION-46-2000,high,,[],"Current legal liwa; administrative center is represented as a sourced claim, not as an administrative child.","Regulation No. 46 of 2000, Article 4; Liwa ناعور clause",,,verified
ENT-JO-LIWA-0E1F65ACCB01,2.0.0,JO,الحسينية,jo_liwa,current,ar,SRC-JO-REGULATION-46-2000,high,,[],"Current legal liwa; administrative center is represented as a sourced claim, not as an administrative child.","Regulation No. 46 of 2000, Article 8; Liwa الحسينية clause",,,verified
ENT-JO-LIWA-10797219C502,2.0.0,JO,المزار الجنوبي,jo_liwa,current,ar,SRC-JO-REGULATION-46-2000,high,,[],"Current legal liwa; administrative center is represented as a sourced claim, not as an administrative child.","Regulation No. 46 of 2000, Article 7; Liwa المزار الجنوبي clause",,,verified
ENT-JO-LIWA-1A0681D3D403,2.0.0,JO,الكورة,jo_liwa,current,ar,SRC-JO-REGULATION-46-2000,high,,[],"Current legal liwa; administrative center is represented as a sourced claim, not as an administrative child.","Regulation No. 46 of 2000, Article 5; Liwa الكورة clause",,,verified
ENT-JO-LIWA-20C22BC51869,2.0.0,JO,غرب إربد,jo_liwa,current,ar,SRC-JO-REGULATION-29-2024,high,,[],"Current legal liwa; administrative center is represented as a sourced claim, not as an administrative child.",Regulation No. 29 of 2024; replacement clause creating or promoting Liwa غرب إربد,2024-06-06,,verified
ENT-JO-LIWA-21199BA166A1,2.0.0,JO,الأغوار الجنوبية,jo_liwa,current,ar,SRC-JO-REGULATION-46-2000,high,,[],"Current legal liwa; administrative center is represented as a sourced claim, not as an administrative child.","Regulation No. 46 of 2000, Article 7; Liwa الأغوار الجنوبية clause",,,verified
ENT-JO-LIWA-2362552AE4BD,2.0.0,JO,الشوبك,jo_liwa,current,ar,SRC-JO-REGULATION-46-2000,high,,[],"Current legal liwa; administrative center is represented as a sourced claim, not as an administrative child.","Regulation No. 46 of 2000, Article 8; Liwa الشوبك clause",,,verified
ENT-JO-LIWA-2A431ED8DCB5,2.0.0,JO,الأغوار الشمالية,jo_liwa,current,ar,SRC-JO-REGULATION-46-2000,high,,[],"Current legal liwa; administrative center is represented as a sourced claim, not as an administrative child.","Regulation No. 46 of 2000, Article 5; Liwa الأغوار الشمالية clause",,,verified
ENT-JO-LIWA-2E61885AA2F4,2.0.0,JO,الطيبة,jo_liwa,current,ar,SRC-JO-REGULATION-46-2000,high,,[],"Current legal liwa; administrative center is represented as a sourced claim, not as an administrative child.","Regulation No. 46 of 2000, Article 5; Liwa الطيبة clause",,,verified
ENT-JO-LIWA-2EC144CEBFB6,2.0.0,JO,وادي السير,jo_liwa,current,ar,SRC-JO-REGULATION-46-2000,high,,[],"Current legal liwa; administrative center is represented as a sourced claim, not as an administrative child.","Regulation No. 46 of 2000, Article 4; Liwa وادي السير clause",,,verified
ENT-JO-LIWA-31557DB26F65,2.0.0,JO,قصبة العقبة,jo_liwa,current,ar,SRC-JO-REGULATION-46-2000,high,,[],"Current legal liwa; administrative center is represented as a sourced claim, not as an administrative child.","Regulation No. 46 of 2000, Article 15; Liwa قصبة العقبة clause",,,verified
ENT-JO-LIWA-3788C9BAB67E,2.0.0,JO,بني عبيد,jo_liwa,current,ar,SRC-JO-REGULATION-46-2000,high,,[],"Current legal liwa; administrative center is represented as a sourced claim, not as an administrative child.","Regulation No. 46 of 2000, Article 5; Liwa بني عبيد clause",,,verified
ENT-JO-LIWA-3E76A864C483,2.0.0,JO,قصبة معان,jo_liwa,current,ar,SRC-JO-REGULATION-46-2000,high,,[],"Current legal liwa; administrative center is represented as a sourced claim, not as an administrative child.","Regulation No. 46 of 2000, Article 8; Liwa قصبة معان clause",,,verified
ENT-JO-LIWA-40B36A511085,2.0.0,JO,الجيزة,jo_liwa,current,ar,SRC-JO-REGULATION-46-2000,high,,[],"Current legal liwa; administrative center is represented as a sourced claim, not as an administrative child.","Regulation No. 46 of 2000, Article 4; Liwa الجيزة clause",,,verified
ENT-JO-LIWA-41C85475F281,2.0.0,JO,البادية الشمالية,jo_liwa,current,ar,SRC-JO-REGULATION-46-2000,high,,[],"Current legal liwa; administrative center is represented as a sourced claim, not as an administrative child.","Regulation No. 46 of 2000, Article 10; Liwa البادية الشمالية clause",,,verified
ENT-JO-LIWA-46C51EE904F4,2.0.0,JO,قصبة مادبا,jo_liwa,current,ar,SRC-JO-REGULATION-46-2000,high,,[],"Current legal liwa; administrative center is represented as a sourced claim, not as an administrative child.","Regulation No. 46 of 2000, Article 12; Liwa قصبة مادبا clause",,,verified
ENT-JO-LIWA-4991A65209CA,2.0.0,JO,الشونة الجنوبية,jo_liwa,current,ar,SRC-JO-REGULATION-46-2000,high,,[],"Current legal liwa; administrative center is represented as a sourced claim, not as an administrative child.","Regulation No. 46 of 2000, Article 6; Liwa الشونة الجنوبية clause",,,verified
ENT-JO-LIWA-4F9D4CBD1EE1,2.0.0,JO,قصبة السلط,jo_liwa,current,ar,SRC-JO-REGULATION-46-2000,high,,[],"Current legal liwa; administrative center is represented as a sourced claim, not as an administrative child.","Regulation No. 46 of 2000, Article 6; Liwa قصبة السلط clause",,,verified
ENT-JO-LIWA-52DCFF661A5B,2.0.0,JO,البتراء,jo_liwa,current,ar,SRC-JO-REGULATION-46-2000,high,,[],"Current legal liwa; administrative center is represented as a sourced claim, not as an administrative child.","Regulation No. 46 of 2000, Article 8; Liwa البتراء clause",,,verified
ENT-JO-LIWA-532C9B46EAA6,2.0.0,JO,الرمثا,jo_liwa,current,ar,SRC-JO-REGULATION-46-2000,high,,[],"Current legal liwa; administrative center is represented as a sourced claim, not as an administrative child.","Regulation No. 46 of 2000, Article 5; Liwa الرمثا clause",,,verified
ENT-JO-LIWA-59748B6817DF,2.0.0,JO,قصبة إربد,jo_liwa,current,ar,SRC-JO-REGULATION-46-2000,high,,[],"Current legal liwa; administrative center is represented as a sourced claim, not as an administrative child.","Regulation No. 46 of 2000, Article 5; Liwa قصبة إربد clause",,,verified
ENT-JO-LIWA-59C556AA0313,2.0.0,JO,الهاشمية,jo_liwa,current,ar,SRC-JO-REGULATION-46-2000,high,,[],"Current legal liwa; administrative center is represented as a sourced claim, not as an administrative child.","Regulation No. 46 of 2000, Article 9; Liwa الهاشمية clause",,,verified
ENT-JO-LIWA-681DE54F703E,2.0.0,JO,الجامعة,jo_liwa,current,ar,SRC-JO-REGULATION-46-2000,high,,[],"Current legal liwa; administrative center is represented as a sourced claim, not as an administrative child.","Regulation No. 46 of 2000, Article 4; Liwa الجامعة clause",,,verified
ENT-JO-LIWA-6C4AA17AB00E,2.0.0,JO,ماحص والفحيص,jo_liwa,current,ar,SRC-JO-REGULATION-46-2000,high,,[],"Current legal liwa; administrative center is represented as a sourced claim, not as an administrative child.","Regulation No. 46 of 2000, Article 6; Liwa ماحص والفحيص clause",,,verified
ENT-JO-LIWA-71BA83D6D67A,2.0.0,JO,قصبة الكرك,jo_liwa,current,ar,SRC-JO-REGULATION-46-2000,high,,[],"Current legal liwa; administrative center is represented as a sourced claim, not as an administrative child.","Regulation No. 46 of 2000, Article 7; Liwa قصبة الكرك clause",,,verified
ENT-JO-LIWA-74DBC7283810,2.0.0,JO,بصيرا,jo_liwa,current,ar,SRC-JO-REGULATION-46-2000,high,,[],"Current legal liwa; administrative center is represented as a sourced claim, not as an administrative child.","Regulation No. 46 of 2000, Article 11; Liwa بصيرا clause",,,verified
ENT-JO-LIWA-7A4FC57A24E4,2.0.0,JO,عي,jo_liwa,current,ar,SRC-JO-REGULATION-46-2000,high,,[],"Current legal liwa; administrative center is represented as a sourced claim, not as an administrative child.","Regulation No. 46 of 2000, Article 7; Liwa عي clause",,,verified
ENT-JO-LIWA-7A641B92B630,2.0.0,JO,الرصيفة,jo_liwa,current,ar,SRC-JO-REGULATION-46-2000,high,,[],"Current legal liwa; administrative center is represented as a sourced claim, not as an administrative child.","Regulation No. 46 of 2000, Article 9; Liwa الرصيفة clause",,,verified
ENT-JO-LIWA-86A2E3EF2574,2.0.0,JO,بني كنانة,jo_liwa,current,ar,SRC-JO-REGULATION-46-2000,high,,[],"Current legal liwa; administrative center is represented as a sourced claim, not as an administrative child.","Regulation No. 46 of 2000, Article 5; Liwa بني كنانة clause",,,verified
ENT-JO-LIWA-87287CD200B1,2.0.0,JO,قصبة الطفيلة,jo_liwa,current,ar,SRC-JO-REGULATION-46-2000,high,,[],"Current legal liwa; administrative center is represented as a sourced claim, not as an administrative child.","Regulation No. 46 of 2000, Article 11; Liwa قصبة الطفيلة clause",,,verified
